,journée,date_time,home_team,away_team,1st_home_team_goal,1st_away_team_goal,total_home_team_goal,total_away_team_goal,global
127,26,2023-03-11 17:00,Napoli,Atalanta,0,0,2,0,2
128,26,2023-03-11 14:00,Empoli,Udinese,0,0,0,1,1
129,26,2023-03-10 19:45,Spezia,Inter,0,0,2,1,3
130,25,2023-03-06 19:45,Torino,Bologna,1,0,1,0,1
131,25,2023-03-06 17:30,Sassuolo,Cremonese,2,0,3,2,5
132,25,2023-03-05 19:45,AS Roma,Juventus,0,0,1,0,1
133,25,2023-03-05 17:00,Inter,Lecce,1,0,2,0,2
134,25,2023-03-05 14:00,Sampdoria,Salernitana,0,0,0,0,0
135,25,2023-03-05 11:30,Spezia,Verona,0,0,0,0,0
136,25,2023-03-04 19:45,Fiorentina,AC Milan,0,0,2,1,3
137,25,2023-03-04 17:00,Atalanta,Udinese,0,0,0,0,0
138,25,2023-03-04 14:00,Monza,Empoli,1,0,2,1,3
139,25,2023-03-03 19:45,Napoli,Lazio,0,0,0,1,1
140,24,2023-02-28 19:45,Juventus,Torino,2,2,4,2,6
141,24,2023-02-28 17:30,Cremonese,AS Roma,1,0,2,1,3
142,24,2023-02-27 19:45,Lazio,Sampdoria,0,0,1,0,1
143,24,2023-02-27 17:30,Verona,Fiorentina,0,2,0,3,3
144,24,2023-02-26 19:45,AC Milan,Atalanta,1,0,2,0,2
145,24,2023-02-26 17:00,Udinese,Spezia,1,1,2,2,4
146,24,2023-02-26 14:00,Salernitana,Monza,0,0,3,0,3
147,24,2023-02-26 11:30,Bologna,Inter,0,0,1,0,1
148,24,2023-02-25 19:45,Lecce,Sassuolo,0,0,0,1,1
149,24,2023-02-25 17:00,Empoli,Napoli,0,2,0,2,2
150,23,2023-02-20 19:45,Torino,Cremonese,1,0,2,2,4
151,23,2023-02-19 19:45,AS Roma,Verona,1,0,1,0,1
152,23,2023-02-19 17:00,Spezia,Juventus,0,1,0,2,2
153,23,2023-02-19 14:00,Fiorentina,Empoli,0,1,1,1,2
154,23,2023-02-19 14:00,Salernitana,Lazio,0,0,0,2,2
155,23,2023-02-19 11:30,Atalanta,Lecce,0,1,1,2,3
156,23,2023-02-18 19:45,Inter,Udinese,1,1,3,1,4
157,23,2023-02-18 17:00,Monza,AC Milan,0,1,0,1,1
