,journée,date_time,home_team,away_team,1st_home_team_goal,1st_away_team_goal,total_home_team_goal,total_away_team_goal,global
179,15,2023-01-06 19:00,Benfica,Portimonense,1,0,1,0,1
180,15,2023-01-05 20:15,Santa Clara,Braga,0,2,0,4,4
181,14,2022-12-30 21:15,Braga,Benfica,2,0,3,0,3
182,14,2022-12-30 19:00,Vizela,Guimaraes,1,0,3,0,3
183,14,2022-12-30 17:00,Chaves,Famalicao,0,1,0,2,2
184,14,2022-12-29 21:15,Sporting,Paços Ferreira,3,0,3,0,3
185,14,2022-12-29 17:00,Gil Vicente,Santa Clara,1,0,1,0,1
186,14,2022-12-28 21:15,FC Porto,Arouca,3,0,5,1,6
187,14,2022-12-28 19:00,Portimonense,Casa Pia,1,1,1,2,3
188,14,2022-12-23 20:15,Rio Ave,Maritimo,1,1,1,1,2
189,13,2022-11-14 20:15,Santa Clara,Estoril,2,1,3,1,4
190,13,2022-11-13 20:30,Famalicao,Sporting,0,2,1,2,3
191,13,2022-11-13 18:00,Casa Pia,Chaves,1,0,1,2,3
192,13,2022-11-13 18:00,Portimonense,Braga,1,0,1,2,3
193,13,2022-11-13 18:00,Benfica,Gil Vicente,2,1,3,1,4
194,13,2022-11-13 15:30,Guimaraes,Maritimo,0,0,1,0,1
195,13,2022-11-13 15:30,Paços Ferreira,Vizela,0,0,0,2,2
196,13,2022-11-12 20:30,Boavista,FC Porto,0,1,1,4,5
197,13,2022-11-12 18:00,Arouca,Rio Ave,0,0,0,1,1
198,12,2022-11-07 20:15,Chaves,Santa Clara,0,0,0,0,0
199,12,2022-11-06 20:30,Estoril,Benfica,0,3,1,5,6
200,12,2022-11-06 18:00,Maritimo,Famalicao,0,0,0,0,0
201,12,2022-11-06 18:00,Braga,Casa Pia,0,1,0,1,1
202,12,2022-11-06 15:30,Rio Ave,Boavista,0,0,1,0,1
203,12,2022-11-05 20:30,Sporting,Guimaraes,2,0,3,0,3
204,12,2022-11-05 18:00,FC Porto,Paços Ferreira,3,0,4,0,4
205,12,2022-11-05 15:30,Vizela,Arouca,0,1,0,1,1
206,12,2022-11-04 20:15,Gil Vicente,Portimonense,1,1,1,2,3
207,11,2022-10-31 20:15,Guimaraes,Famalicao,1,0,3,2,5
208,11,2022-10-30 20:30,Gil Vicente,Braga,0,0,0,1,1
209,11,2022-10-30 18:00,Casa Pia,Rio Ave,0,0,1,0,1
210,11,2022-10-30 15:30,Portimonense,Estoril,0,1,1,1,2
211,11,2022-10-30 15:30,Boavista,Vizela,1,2,2,2,4
212,11,2022-10-29 19:30,Arouca,Sporting,0,0,1,0,1
213,11,2022-10-29 17:00,Benfica,Chaves,3,0,5,0,5
214,11,2022-10-29 14:30,Santa Clara,FC Porto,0,1,1,1,2
215,11,2022-10-28 19:15,Paços Ferreira,Maritimo,0,1,0,1,1
216,10,2022-10-24 19:15,Rio Ave,Portimonense,1,0,1,0,1
217,10,2022-10-23 19:30,Guimaraes,Boavista,1,1,3,2,5
218,10,2022-10-23 17:00,Chaves,Gil Vicente,0,1,3,1,4
219,10,2022-10-23 14:30,Maritimo,Arouca,1,1,1,1,2
220,10,2022-10-23 14:30,Vizela,Santa Clara,0,0,0,1,1
221,10,2022-10-22 19:30,Sporting,Casa Pia,0,1,3,1,4
222,10,2022-10-22 17:00,Estoril,Braga,0,2,0,2,2
223,10,2022-10-22 14:30,Famalicao,Paços Ferreira,1,1,2,1,3
224,10,2022-10-21 19:15,FC Porto,Benfica,0,0,0,1,1
225,9,2022-10-10 19:15,Arouca,Famalicao,1,1,4,1,5
226,9,2022-10-09 19:30,Braga,Chaves,0,1,0,1,1
227,9,2022-10-09 17:00,Casa Pia,Vizela,0,0,0,1,1
228,9,2022-10-09 14:30,Boavista,Maritimo,1,0,1,1,2
229,9,2022-10-08 19:30,Paços Ferreira,Guimaraes,0,1,0,1,1
230,9,2022-10-08 17:00,Portimonense,FC Porto,0,1,0,2,2
231,9,2022-10-08 17:00,Benfica,Rio Ave,3,1,4,2,6
232,9,2022-10-08 14:30,Santa Clara,Sporting,0,1,1,2,3
233,9,2022-10-07 19:15,Gil Vicente,Estoril,0,0,0,1,1
234,8,2022-10-03 19:15,Maritimo,Casa Pia,1,1,1,2,3
