,journée,date_time,home_team,away_team,1st_home_team_goal,1st_away_team_goal,total_home_team_goal,total_away_team_goal,global
150,24,2023-02-18 14:00,Bordeaux,Paris FC,2,0,2,1,3
151,23,2023-02-13 19:45,Metz,Caen,0,0,0,0,0
152,23,2023-02-11 18:00,Niort,Bordeaux,2,1,3,1,4
153,23,2023-02-11 18:00,Laval,Annecy,1,1,1,1,2
154,23,2023-02-11 18:00,Grenoble,Pau FC,0,1,1,1,2
155,23,2023-02-11 18:00,Sochaux,Le Havre,0,1,1,1,2
156,23,2023-02-11 18:00,Bastia,Quevilly-Rouen,0,1,0,1,1
157,23,2023-02-11 18:00,Rodez,Nîmes,1,0,1,1,2
158,23,2023-02-11 18:00,Guingamp,Valenciennes,1,0,3,1,4
159,23,2023-02-11 14:00,Saint-Étienne,Dijon,2,0,2,0,2
160,22,2023-02-06 19:45,Amiens,Metz,0,0,0,2,2
161,22,2023-02-04 14:00,Saint-Étienne,Annecy,1,1,3,2,5
162,22,2023-02-03 19:45,Dijon,Niort,0,1,0,1,1
163,22,2023-02-03 19:45,Le Havre,Paris FC,0,0,0,0,0
164,22,2023-02-03 19:45,Caen,Bastia,0,0,3,1,4
165,22,2023-02-03 19:45,Nîmes,Grenoble,0,1,0,2,2
166,22,2023-02-03 19:45,Rodez,Sochaux,1,1,1,2,3
167,22,2023-02-03 19:45,Pau FC,Bordeaux,0,1,0,2,2
168,22,2023-02-03 19:45,Quevilly-Rouen,Guingamp,1,0,2,0,2
169,22,2023-02-03 19:45,Valenciennes,Laval,2,0,3,1,4
170,21,2023-01-31 19:45,Niort,Amiens,0,2,1,3,4
171,21,2023-01-31 19:45,Bastia,Saint-Étienne,0,0,2,0,2
172,21,2023-01-31 19:45,Paris FC,Pau FC,0,0,0,1,1
173,21,2023-01-31 19:45,Metz,Rodez,0,0,1,1,2
174,21,2023-01-31 19:45,Sochaux,Valenciennes,2,0,4,0,4
175,21,2023-01-31 19:45,Laval,Dijon,0,0,1,0,1
176,21,2023-01-31 19:45,Guingamp,Nîmes,1,0,1,2,3
177,21,2023-01-31 19:45,Grenoble,Quevilly-Rouen,0,0,1,0,1
178,21,2023-01-31 19:45,Bordeaux,Le Havre,0,1,1,2,3
179,21,2023-01-31 19:45,Annecy,Caen,0,0,2,0,2
180,20,2023-01-28 18:00,Dijon,Bordeaux,0,1,0,3,3
181,20,2023-01-28 18:00,Caen,Laval,0,0,0,0,0
182,20,2023-01-28 18:00,Rodez,Guingamp,0,0,0,1,1
183,20,2023-01-28 18:00,Grenoble,Bastia,0,0,0,1,1
184,20,2023-01-28 18:00,Amiens,Le Havre,1,0,1,1,2
185,20,2023-01-28 18:00,Pau FC,Annecy,0,2,2,2,4
186,20,2023-01-28 18:00,Nîmes,Niort,3,1,3,2,5
187,20,2023-01-28 18:00,Quevilly-Rouen,Paris FC,1,0,3,1,4
188,20,2023-01-28 18:00,Valenciennes,Metz,0,0,1,1,2
189,20,2023-01-28 14:00,Saint-Étienne,Sochaux,0,1,2,3,5
190,19,2023-01-20 17:30,Sochaux,Caen,1,0,1,2,3
191,19,2023-01-16 19:45,Niort,Saint-Étienne,0,0,0,1,1
192,19,2023-01-13 19:45,Bastia,Pau FC,0,0,1,0,1
193,19,2023-01-13 19:45,Dijon,Valenciennes,1,0,2,1,3
194,19,2023-01-13 19:45,Annecy,Paris FC,1,0,2,0,2
195,19,2023-01-13 19:45,Bordeaux,Amiens,1,0,1,1,2
196,19,2023-01-13 19:45,Laval,Rodez,1,0,3,1,4
197,19,2023-01-13 19:45,Guingamp,Grenoble,1,1,2,4,6
198,19,2023-01-13 19:45,Le Havre,Nîmes,0,0,3,1,4
199,19,2023-01-13 19:45,Metz,Quevilly-Rouen,0,0,2,0,2
200,18,2023-01-10 19:45,Quevilly-Rouen,Bastia,1,0,1,1,2
201,18,2023-01-10 19:45,Valenciennes,Annecy,1,1,2,2,4
202,18,2023-01-10 19:45,Saint-Étienne,Laval,0,0,1,0,1
203,18,2023-01-10 19:45,Pau FC,Grenoble,0,0,0,0,0
204,18,2023-01-10 19:45,Paris FC,Dijon,1,0,2,1,3
205,18,2023-01-10 19:45,Nîmes,Metz,0,0,1,4,5
206,18,2023-01-10 19:45,Caen,Bordeaux,0,2,2,2,4
207,18,2023-01-10 19:45,Le Havre,Sochaux,0,0,1,0,1
208,18,2023-01-10 19:45,Amiens,Guingamp,0,0,1,1,2
209,18,2023-01-10 19:45,Rodez,Niort,0,0,1,1,2
210,17,2022-12-30 20:00,Rodez,Dijon,2,0,2,1,3
211,17,2022-12-30 20:00,Annecy,Nîmes,0,0,0,0,0
212,17,2022-12-30 20:00,Paris FC,Le Havre,0,0,0,0,0
213,17,2022-12-30 20:00,Laval,Amiens,0,1,0,3,3
214,17,2022-12-30 20:00,Grenoble,Metz,0,0,0,1,1
215,17,2022-12-30 20:00,Bastia,Valenciennes,0,0,1,0,1
216,17,2022-12-30 20:00,Guingamp,Quevilly-Rouen,0,1,0,2,2
217,17,2022-12-30 20:00,Niort,Pau FC,1,0,2,1,3
218,17,2022-12-30 18:05,Saint-Étienne,Caen,0,1,1,1,2
219,17,2022-12-30 16:00,Bordeaux,Sochaux,2,0,2,1,3
220,16,2022-12-26 20:00,Bastia,Caen,0,0,1,0,1
221,16,2022-12-26 20:00,Pau FC,Paris FC,0,1,0,1,1
222,16,2022-12-26 20:00,Nîmes,Guingamp,1,1,1,2,3
223,16,2022-12-26 20:00,Metz,Niort,0,0,0,0,0
224,16,2022-12-26 20:00,Dijon,Laval,3,0,5,0,5
225,16,2022-12-26 20:00,Quevilly-Rouen,Grenoble,0,0,2,0,2
226,16,2022-12-26 20:00,Valenciennes,Amiens,1,1,1,1,2
227,16,2022-12-26 20:00,Sochaux,Rodez,0,0,1,0,1
228,16,2022-12-26 18:05,Le Havre,Bordeaux,1,0,1,0,1
229,16,2022-12-26 16:00,Annecy,Saint-Étienne,1,0,2,1,3
230,15,2022-11-12 18:00,Amiens,Quevilly-Rouen,0,1,0,2,2
231,15,2022-11-12 18:00,Grenoble,Dijon,0,0,0,0,0
232,15,2022-11-12 18:00,Bordeaux,Pau FC,0,1,1,1,2
233,15,2022-11-12 18:00,Sochaux,Bastia,1,0,1,0,1
234,15,2022-11-12 18:00,Caen,Annecy,0,0,0,0,0
235,15,2022-11-12 18:00,Guingamp,Le Havre,0,0,0,1,1
236,15,2022-11-12 18:00,Laval,Valenciennes,1,0,1,0,1
237,15,2022-11-12 18:00,Niort,Nîmes,0,1,1,1,2
238,15,2022-11-12 18:00,Paris FC,Metz,1,2,1,4,5
239,15,2022-11-12 14:00,Saint-Étienne,Rodez,0,0,0,2,2
240,14,2022-11-07 19:45,Metz,Saint-Étienne,2,1,3,2,5
241,14,2022-11-05 18:00,Bastia,Paris FC,0,1,0,1,1
242,14,2022-11-05 18:00,Dijon,Guingamp,0,1,1,1,2
243,14,2022-11-05 18:00,Laval,Niort,1,1,2,1,3
244,14,2022-11-05 18:00,Annecy,Sochaux,0,1,2,1,3
245,14,2022-11-05 18:00,Pau FC,Amiens,1,0,2,1,3
246,14,2022-11-05 18:00,Valenciennes,Caen,1,1,1,1,2
247,14,2022-11-05 18:00,Rodez,Grenoble,0,0,0,1,1
248,14,2022-11-05 18:00,Quevilly-Rouen,Le Havre,0,0,0,1,1
249,14,2022-11-05 14:00,Nîmes,Bordeaux,1,0,1,0,1
250,13,2022-10-24 18:45,Le Havre,Metz,1,0,2,0,2
251,13,2022-10-22 17:00,Sochaux,Quevilly-Rouen,0,1,2,2,4
252,13,2022-10-22 17:00,Caen,Rodez,0,0,2,0,2
253,13,2022-10-22 17:00,Niort,Dijon,0,0,2,1,3
254,13,2022-10-22 17:00,Pau FC,Nîmes,1,0,1,0,1
255,13,2022-10-22 17:00,Bordeaux,Annecy,1,0,1,0,1
256,13,2022-10-22 17:00,Paris FC,Laval,0,0,0,0,0
