journée,date_time,home_team,away_team,1st_home_team_goal,1st_away_team_goal,1st_total_goal,2nd_home_team_goal,2nd_away_team_goal,2nd_total_goal,total_home_team_goal,total_away_team_goal,global
23,2023-02-12 14:00:00,Montpellier,Brest,2,0,2,1,0,1,3,0,3
23,2023-02-12 12:00:00,Toulouse,Rennes,3,0,3,0,1,1,3,1,4
23,2023-02-11 20:00:00,Clermont,Marseille,0,1,1,0,1,1,0,2,2
23,2023-02-11 16:00:00,Monaco,PSG,3,1,4,0,0,0,3,1,4
23,2023-02-10 20:00:00,Nice,AC Ajaccio,1,0,1,2,0,2,3,0,3
22,2023-02-05 19:45:00,Marseille,Nice,0,2,2,1,1,2,1,3,4
22,2023-02-05 16:05:00,Brest,Lens,0,0,0,1,1,2,1,1,2
22,2023-02-05 14:00:00,Lorient,Angers,0,0,0,0,0,0,0,0,0
22,2023-02-05 14:00:00,AC Ajaccio,Nantes,0,0,0,0,2,2,0,2,2
22,2023-02-05 14:00:00,Auxerre,Reims,0,0,0,0,0,0,0,0,0
22,2023-02-05 14:00:00,Strasbourg,Montpellier,2,0,2,0,0,0,2,0,2
22,2023-02-05 12:00:00,Clermont,Monaco,0,2,2,0,0,0,0,2,2
22,2023-02-04 20:00:00,Rennes,Lille,1,0,1,0,3,3,1,3,4
22,2023-02-04 18:00:00,Troyes,Lyon,0,1,1,1,2,3,1,3,4
22,2023-02-04 16:00:00,PSG,Toulouse,1,1,2,1,0,1,2,1,3
21,2023-02-01 20:00:00,Monaco,Auxerre,2,0,2,1,2,3,3,2,5
21,2023-02-01 20:00:00,Montpellier,PSG,0,0,0,1,3,4,1,3,4
21,2023-02-01 20:00:00,Lens,Nice,0,0,0,0,1,1,0,1,1
21,2023-02-01 20:00:00,Rennes,Strasbourg,2,0,2,1,0,1,3,0,3
21,2023-02-01 20:00:00,Lyon,Brest,0,0,0,0,0,0,0,0,0
21,2023-02-01 18:00:00,Angers,AC Ajaccio,1,0,1,0,2,2,1,2,3
21,2023-02-01 18:00:00,Lille,Clermont,0,0,0,0,0,0,0,0,0
21,2023-02-01 18:00:00,Nantes,Marseille,0,0,0,0,2,2,0,2,2
21,2023-02-01 18:00:00,Reims,Lorient,1,2,3,3,0,3,4,2,6
21,2023-02-01 18:00:00,Toulouse,Troyes,2,1,3,2,0,2,4,1,5
20,2023-01-29 19:45:00,PSG,Reims,0,0,0,1,1,2,1,1,2
20,2023-01-29 16:05:00,AC Ajaccio,Lyon,0,1,1,0,1,1,0,2,2
20,2023-01-29 14:00:00,Strasbourg,Toulouse,1,1,2,0,1,1,1,2,3
20,2023-01-29 14:00:00,Brest,Angers,2,0,2,2,0,2,4,0,4
20,2023-01-29 14:00:00,Clermont,Nantes,0,0,0,0,0,0,0,0,0
20,2023-01-29 14:00:00,Auxerre,Montpellier,0,0,0,0,2,2,0,2,2
20,2023-01-29 12:00:00,Nice,Lille,1,0,1,0,0,0,1,0,1
20,2023-01-28 20:00:00,Marseille,Monaco,0,1,1,1,0,1,1,1,2
20,2023-01-28 16:00:00,Troyes,Lens,0,0,0,1,1,2,1,1,2
20,2023-01-27 20:00:00,Lorient,Rennes,2,0,2,0,1,1,2,1,3
19,2023-01-15 19:45:00,Rennes,PSG,0,0,0,1,0,1,1,0,1
19,2023-01-15 16:05:00,Monaco,AC Ajaccio,5,1,6,2,0,2,7,1,8
19,2023-01-15 14:00:00,Reims,Nice,0,0,0,0,0,0,0,0,0
19,2023-01-15 14:00:00,Montpellier,Nantes,0,1,1,0,2,2,0,3,3
19,2023-01-15 14:00:00,Toulouse,Brest,0,1,1,1,0,1,1,1,2
19,2023-01-15 14:00:00,Angers,Clermont,0,1,1,1,1,2,1,2,3
19,2023-01-15 12:00:00,Lille,Troyes,2,0,2,3,1,4,5,1,6
