Unnamed: 0,mp,date_time,home_team,away_team,1st_home_goal,1st_away_goal,1st_total_goal,2nd_home_goal,2nd_away_goal,2nd_total_goal,total_home_goal,total_away_goal,global
153,18,2023-01-24 17:45,FC Emmen,PSV,1,0,1,0,0,0,1,0,1
154,17,2023-01-22 15:45,AZ Alkmaar,Sittard,2,1,3,1,0,1,3,1,4
155,17,2023-01-22 13:30,Twente,Utrecht,1,0,1,1,0,1,2,0,2
156,17,2023-01-22 13:30,Feyenoord,Ajax,1,0,1,0,1,1,1,1,2
157,17,2023-01-22 11:15,Heerenveen,Groningen,1,1,2,2,0,2,3,1,4
158,17,2023-01-21 19:00,PSV,Vitesse,0,0,0,1,0,1,1,0,1
159,17,2023-01-21 19:00,Cambuur,Sparta Rotterdam,0,2,2,0,1,1,0,3,3
160,17,2023-01-21 17:45,Nijmegen,FC Emmen,2,1,3,1,0,1,3,1,4
161,17,2023-01-20 19:00,Excelsior,FC Volendam,1,0,1,1,0,1,2,0,2
162,16,2023-01-15 15:45,FC Emmen,Cambuur,0,0,0,0,0,0,0,0,0
163,16,2023-01-15 15:45,Groningen,Feyenoord,0,2,2,0,1,1,0,3,3
164,16,2023-01-15 13:30,Sittard,PSV,1,0,1,1,2,3,2,2,4
165,16,2023-01-15 13:30,G.A. Eagles,Utrecht,1,2,3,1,0,1,2,2,4
166,16,2023-01-15 11:15,Vitesse,Nijmegen,0,0,0,0,0,0,0,0,0
167,16,2023-01-14 20:00,Ajax,Twente,0,0,0,0,0,0,0,0,0
168,16,2023-01-14 20:00,Sparta Rotterdam,Excelsior,0,0,0,1,0,1,1,0,1
169,16,2023-01-14 17:45,FC Volendam,Waalwijk,0,0,0,2,1,3,2,1,3
170,16,2023-01-14 17:45,Heerenveen,AZ Alkmaar,0,1,1,0,1,1,0,2,2
171,15,2023-01-08 15:45,Excelsior,Groningen,0,0,0,1,0,1,1,0,1
172,15,2023-01-08 13:30,Nijmegen,Ajax,0,1,1,1,0,1,1,1,2
173,15,2023-01-08 13:30,Cambuur,FC Volendam,0,2,2,0,1,1,0,3,3
174,15,2023-01-08 11:15,Utrecht,Feyenoord,1,0,1,0,1,1,1,1,2
175,15,2023-01-07 20:00,PSV,Sparta Rotterdam,0,0,0,0,0,0,0,0,0
176,15,2023-01-07 19:00,Sittard,G.A. Eagles,0,2,2,0,0,0,0,2,2
177,15,2023-01-07 17:45,AZ Alkmaar,Vitesse,0,0,0,1,1,2,1,1,2
178,15,2023-01-07 15:30,Waalwijk,Heerenveen,0,0,0,0,0,0,0,0,0
179,15,2023-01-06 19:00,Twente,FC Emmen,1,0,1,1,0,1,2,0,2
180,14,2022-11-13 19:00,G.A. Eagles,Vitesse,2,0,2,0,2,2,2,2,4
181,14,2022-11-13 15:45,Feyenoord,Excelsior,2,1,3,3,0,3,5,1,6
