journée,date_time,home_team,away_team,1st_home_team_goal,1st_away_team_goal,1st_total_goal,2nd_home_team_goal,2nd_away_team_goal,2nd_total_goal,total_home_team_goal,total_away_team_goal,global
23,2023-03-04 14:30,Bochum,Schalke,0,1,1,0,1,1,0,2,2
23,2023-03-04 14:30,Augsburg,Werder Bremen,1,1,2,1,0,1,2,1,3
23,2023-03-03 19:30,Dortmund,RB Leipzig,2,0,2,0,1,1,2,1,3
22,2023-02-26 16:30,Bayern Munich,Union Berlin,3,0,3,0,0,0,3,0,3
22,2023-02-26 14:30,Freiburg,Bayer Leverkusen,1,0,1,0,1,1,1,1,2
22,2023-02-25 17:30,Schalke,Stuttgart,2,0,2,0,1,1,2,1,3
22,2023-02-25 14:30,Werder Bremen,Bochum,2,0,2,1,0,1,3,0,3
22,2023-02-25 14:30,FC Koln,Wolfsburg,0,1,1,0,1,1,0,2,2
22,2023-02-25 14:30,Hertha Berlin,Augsburg,0,0,0,2,0,2,2,0,2
22,2023-02-25 14:30,Hoffenheim,Dortmund,0,1,1,0,0,0,0,1,1
22,2023-02-25 14:30,RB Leipzig,Eintracht Frankfurt,2,0,2,0,1,1,2,1,3
22,2023-02-24 19:30,Mainz,B. Monchengladbach,1,0,1,3,0,3,4,0,4
21,2023-02-19 18:30,Bayer Leverkusen,Mainz,1,2,3,1,1,2,2,3,5
21,2023-02-19 16:30,Dortmund,Hertha Berlin,2,0,2,2,1,3,4,1,5
21,2023-02-19 14:30,Union Berlin,Schalke,0,0,0,0,0,0,0,0,0
21,2023-02-18 17:30,Eintracht Frankfurt,Werder Bremen,1,0,1,1,0,1,2,0,2
21,2023-02-18 14:30,B. Monchengladbach,Bayern Munich,1,1,2,2,1,3,3,2,5
21,2023-02-18 14:30,Bochum,Freiburg,0,1,1,0,1,1,0,2,2
21,2023-02-18 14:30,Wolfsburg,RB Leipzig,0,1,1,0,2,2,0,3,3
21,2023-02-18 14:30,Stuttgart,FC Koln,1,0,1,2,0,2,3,0,3
21,2023-02-17 19:30,Augsburg,Hoffenheim,0,0,0,1,0,1,1,0,1
20,2023-02-12 16:30,FC Koln,Eintracht Frankfurt,0,0,0,3,0,3,3,0,3
20,2023-02-12 14:30,Hertha Berlin,B. Monchengladbach,1,1,2,3,0,3,4,1,5
20,2023-02-11 17:30,RB Leipzig,Union Berlin,1,0,1,0,2,2,1,2,3
20,2023-02-11 14:30,Freiburg,Stuttgart,0,1,1,2,0,2,2,1,3
20,2023-02-11 14:30,Hoffenheim,Bayer Leverkusen,0,1,1,1,2,3,1,3,4
20,2023-02-11 14:30,Bayern Munich,Bochum,1,0,1,2,0,2,3,0,3
20,2023-02-11 14:30,Werder Bremen,Dortmund,0,0,0,0,2,2,0,2,2
20,2023-02-11 14:30,Mainz,Augsburg,2,1,3,1,0,1,3,1,4
20,2023-02-10 19:30,Schalke,Wolfsburg,0,0,0,0,0,0,0,0,0
20,2023-02-05 16:30,Wolfsburg,Bayern Munich,1,3,4,1,1,2,2,4,6
20,2023-02-05 14:30,Stuttgart,Werder Bremen,0,0,0,0,2,2,0,2,2
20,2023-02-04 17:30,B. Monchengladbach,Schalke,0,0,0,0,0,0,0,0,0
20,2023-02-04 14:30,FC Koln,RB Leipzig,0,0,0,0,0,0,0,0,0
20,2023-02-04 14:30,Union Berlin,Mainz,1,0,1,1,1,2,2,1,3
20,2023-02-04 14:30,Eintracht Frankfurt,Hertha Berlin,2,0,2,1,0,1,3,0,3
20,2023-02-04 14:30,Dortmund,Freiburg,1,1,2,4,0,4,5,1,6
20,2023-02-04 14:30,Bochum,Hoffenheim,3,0,3,2,2,4,5,2,7
20,2023-02-03 19:30,Augsburg,Bayer Leverkusen,0,0,0,1,0,1,1,0,1
18,2023-01-29 16:30,Bayer Leverkusen,Dortmund,0,1,1,0,1,1,0,2,2
18,2023-01-29 14:30,Schalke,FC Koln,0,0,0,0,0,0,0,0,0
18,2023-01-28 17:30,Bayern Munich,Eintracht Frankfurt,1,0,1,0,1,1,1,1,2
18,2023-01-28 14:30,Werder Bremen,Wolfsburg,1,0,1,1,1,2,2,1,3
18,2023-01-28 14:30,Mainz,Bochum,3,0,3,2,2,4,5,2,7
18,2023-01-28 14:30,Hertha Berlin,Union Berlin,0,1,1,0,1,1,0,2,2
18,2023-01-28 14:30,Freiburg,Augsburg,2,1,3,1,0,1,3,1,4
18,2023-01-28 14:30,Hoffenheim,B. Monchengladbach,0,2,2,1,2,3,1,4,5
18,2023-01-27 19:30,RB Leipzig,Stuttgart,1,0,1,1,1,2,2,1,3
17,2023-01-25 19:30,Freiburg,Eintracht Frankfurt,0,1,1,1,0,1,1,1,2
17,2023-01-25 19:30,Werder Bremen,Union Berlin,1,1,2,0,1,1,1,2,3
17,2023-01-25 19:30,Bayer Leverkusen,Bochum,1,0,1,1,0,1,2,0,2
17,2023-01-25 19:30,Augsburg,B. Monchengladbach,0,0,0,1,0,1,1,0,1
17,2023-01-25 17:30,Mainz,Dortmund,1,1,2,0,1,1,1,2,3
17,2023-01-24 19:30,Bayern Munich,FC Koln,0,1,1,1,0,1,1,1,2
17,2023-01-24 19:30,Hoffenheim,Stuttgart,1,1,2,1,1,2,2,2,4
17,2023-01-24 19:30,Hertha Berlin,Wolfsburg,0,3,3,0,2,2,0,5,5
17,2023-01-24 17:30,Schalke,RB Leipzig,0,4,4,1,2,3,1,6,7
15,2022-11-13 16:30,Freiburg,Union Berlin,4,0,4,0,1,1,4,1,5
15,2022-11-13 14:30,Mainz,Eintracht Frankfurt,1,0,1,0,1,1,1,1,2
15,2022-11-12 17:30,Schalke,Bayern Munich,0,1,1,0,1,1,0,2,2
15,2022-11-12 14:30,Werder Bremen,RB Leipzig,0,1,1,1,1,2,1,2,3
15,2022-11-12 14:30,Hoffenheim,Wolfsburg,1,1,2,0,1,1,1,2,3
15,2022-11-12 14:30,Bayer Leverkusen,Stuttgart,1,0,1,1,0,1,2,0,2
15,2022-11-12 14:30,Hertha Berlin,FC Koln,1,0,1,1,0,1,2,0,2
15,2022-11-12 14:30,Augsburg,Bochum,0,0,0,0,1,1,0,1,1
15,2022-11-11 19:30,B. Monchengladbach,Dortmund,3,2,5,1,0,1,4,2,6
14,2022-11-09 19:30,Eintracht Frankfurt,Hoffenheim,3,1,4,1,1,2,4,2,6
14,2022-11-09 19:30,RB Leipzig,Freiburg,0,0,0,3,1,4,3,1,4
14,2022-11-09 19:30,Schalke,Mainz,1,0,1,0,0,0,1,0,1
