journée,date_time,home_team,away_team,1st_home_team_goal,1st_away_team_goal,1st_total_goal,2nd_home_team_goal,2nd_away_team_goal,2nd_total_goal,total_home_team_goal,total_away_team_goal,global
16,2023-01-14 18:00,Rio Ave,Paços Ferreira,0,1,1,0,0,0,0,1,1
16,2023-01-14 15:30,Vizela,Maritimo,2,0,2,1,0,1,3,0,3
16,2023-01-13 20:15,Portimonense,Santa Clara,0,0,0,0,0,0,0,0,0
15,2023-01-08 20:30,Boavista,Gil Vicente,1,0,1,0,0,0,1,0,1
15,2023-01-08 18:00,Maritimo,Sporting,0,0,0,1,0,1,1,0,1
15,2023-01-08 15:30,Paços Ferreira,Chaves,0,0,0,1,1,2,1,1,2
15,2023-01-07 20:30,Casa Pia,FC Porto,0,0,0,0,0,0,0,0,0
15,2023-01-07 18:00,Guimaraes,Rio Ave,0,0,0,0,0,0,0,0,0
15,2023-01-07 15:30,Arouca,Estoril,1,0,1,1,0,1,2,0,2
15,2023-01-06 21:15,Famalicao,Vizela,1,0,1,1,1,2,2,1,3
15,2023-01-06 19:00,Benfica,Portimonense,1,0,1,0,0,0,1,0,1
15,2023-01-05 20:15,Santa Clara,Braga,0,2,2,0,2,2,0,4,4
14,2022-12-30 21:15,Braga,Benfica,2,0,2,1,0,1,3,0,3
14,2022-12-30 19:00,Vizela,Guimaraes,1,0,1,2,0,2,3,0,3
14,2022-12-30 17:00,Chaves,Famalicao,0,1,1,0,1,1,0,2,2
14,2022-12-29 21:15,Sporting,Paços Ferreira,3,0,3,0,0,0,3,0,3
14,2022-12-29 17:00,Gil Vicente,Santa Clara,1,0,1,0,0,0,1,0,1
14,2022-12-28 21:15,FC Porto,Arouca,3,0,3,2,1,3,5,1,6
14,2022-12-28 19:00,Portimonense,Casa Pia,1,1,2,0,1,1,1,2,3
14,2022-12-23 20:15,Rio Ave,Maritimo,1,1,2,0,0,0,1,1,2
13,2022-11-14 20:15,Santa Clara,Estoril,2,1,3,1,0,1,3,1,4
13,2022-11-13 20:30,Famalicao,Sporting,0,2,2,1,0,1,1,2,3
13,2022-11-13 18:00,Casa Pia,Chaves,1,0,1,0,2,2,1,2,3
13,2022-11-13 18:00,Portimonense,Braga,1,0,1,0,2,2,1,2,3
13,2022-11-13 18:00,Benfica,Gil Vicente,2,1,3,1,0,1,3,1,4
13,2022-11-13 15:30,Guimaraes,Maritimo,0,0,0,1,0,1,1,0,1
13,2022-11-13 15:30,Paços Ferreira,Vizela,0,0,0,0,2,2,0,2,2
13,2022-11-12 20:30,Boavista,FC Porto,0,1,1,1,3,4,1,4,5
13,2022-11-12 18:00,Arouca,Rio Ave,0,0,0,0,1,1,0,1,1
12,2022-11-07 20:15,Chaves,Santa Clara,0,0,0,0,0,0,0,0,0
12,2022-11-06 20:30,Estoril,Benfica,0,3,3,1,2,3,1,5,6
12,2022-11-06 18:00,Maritimo,Famalicao,0,0,0,0,0,0,0,0,0
12,2022-11-06 18:00,Braga,Casa Pia,0,1,1,0,0,0,0,1,1
12,2022-11-06 15:30,Rio Ave,Boavista,0,0,0,1,0,1,1,0,1
12,2022-11-05 20:30,Sporting,Guimaraes,2,0,2,1,0,1,3,0,3
12,2022-11-05 18:00,FC Porto,Paços Ferreira,3,0,3,1,0,1,4,0,4
12,2022-11-05 15:30,Vizela,Arouca,0,1,1,0,0,0,0,1,1
12,2022-11-04 20:15,Gil Vicente,Portimonense,1,1,2,0,1,1,1,2,3
11,2022-10-31 20:15,Guimaraes,Famalicao,1,0,1,2,2,4,3,2,5
11,2022-10-30 20:30,Gil Vicente,Braga,0,0,0,0,1,1,0,1,1
11,2022-10-30 18:00,Casa Pia,Rio Ave,0,0,0,1,0,1,1,0,1
11,2022-10-30 15:30,Portimonense,Estoril,0,1,1,1,0,1,1,1,2
11,2022-10-30 15:30,Boavista,Vizela,1,2,3,1,0,1,2,2,4
