mp,date_time,home_team,away_team,1st_home_goal,1st_away_goal,1st_total_goal,2nd_home_goal,2nd_away_goal,2nd_total_goal,total_home_goal,total_away_goal,global
25,2023-02-25 18:00,Guingamp,Caen,0,2,2,1,0,1,1,2,3
25,2023-02-25 18:00,Valenciennes,Dijon,0,0,0,2,2,4,2,2,4
25,2023-02-25 18:00,Saint-Étienne,Pau FC,1,0,1,1,0,1,2,0,2
25,2023-02-25 18:00,Rodez,Bastia,0,1,1,0,1,1,0,2,2
25,2023-02-25 18:00,Sochaux,Annecy,3,0,3,2,1,3,5,1,6
25,2023-02-25 14:00,Grenoble,Le Havre,0,0,0,0,0,0,0,0,0
24,2023-02-20 19:45,Nîmes,Saint-Étienne,0,1,1,1,1,2,1,2,3
24,2023-02-18 18:00,Caen,Grenoble,0,1,1,2,0,2,2,1,3
24,2023-02-18 18:00,Pau FC,Laval,0,1,1,0,0,0,0,1,1
24,2023-02-18 18:00,Bastia,Guingamp,1,0,1,0,1,1,1,1,2
24,2023-02-18 18:00,Annecy,Amiens,1,0,1,1,0,1,2,0,2
24,2023-02-18 18:00,Quevilly-Rouen,Sochaux,0,0,0,0,0,0,0,0,0
24,2023-02-18 18:00,Dijon,Metz,0,0,0,0,0,0,0,0,0
24,2023-02-18 18:00,Valenciennes,Rodez,0,0,0,0,0,0,0,0,0
24,2023-02-18 18:00,Le Havre,Niort,0,0,0,1,0,1,1,0,1
24,2023-02-18 14:00,Bordeaux,Paris FC,2,0,2,0,1,1,2,1,3
23,2023-02-13 19:45,Metz,Caen,0,0,0,0,0,0,0,0,0
23,2023-02-11 18:00,Niort,Bordeaux,2,1,3,1,0,1,3,1,4
23,2023-02-11 18:00,Laval,Annecy,1,1,2,0,0,0,1,1,2
23,2023-02-11 18:00,Grenoble,Pau FC,0,1,1,1,0,1,1,1,2
23,2023-02-11 18:00,Sochaux,Le Havre,0,1,1,1,0,1,1,1,2
23,2023-02-11 18:00,Bastia,Quevilly-Rouen,0,1,1,0,0,0,0,1,1
23,2023-02-11 18:00,Rodez,Nîmes,1,0,1,0,1,1,1,1,2
23,2023-02-11 18:00,Guingamp,Valenciennes,1,0,1,2,1,3,3,1,4
23,2023-02-11 14:00,Saint-Étienne,Dijon,2,0,2,0,0,0,2,0,2
22,2023-02-06 19:45,Amiens,Metz,0,0,0,0,2,2,0,2,2
22,2023-02-04 14:00,Saint-Étienne,Annecy,1,1,2,2,1,3,3,2,5
22,2023-02-03 19:45,Dijon,Niort,0,1,1,0,0,0,0,1,1
22,2023-02-03 19:45,Le Havre,Paris FC,0,0,0,0,0,0,0,0,0
22,2023-02-03 19:45,Caen,Bastia,0,0,0,3,1,4,3,1,4
22,2023-02-03 19:45,Nîmes,Grenoble,0,1,1,0,1,1,0,2,2
22,2023-02-03 19:45,Rodez,Sochaux,1,1,2,0,1,1,1,2,3
22,2023-02-03 19:45,Pau FC,Bordeaux,0,1,1,0,1,1,0,2,2
22,2023-02-03 19:45,Quevilly-Rouen,Guingamp,1,0,1,1,0,1,2,0,2
22,2023-02-03 19:45,Valenciennes,Laval,2,0,2,1,1,2,3,1,4
21,2023-01-31 19:45,Niort,Amiens,0,2,2,1,1,2,1,3,4
21,2023-01-31 19:45,Bastia,Saint-Étienne,0,0,0,2,0,2,2,0,2
21,2023-01-31 19:45,Paris FC,Pau FC,0,0,0,0,1,1,0,1,1
21,2023-01-31 19:45,Metz,Rodez,0,0,0,1,1,2,1,1,2
21,2023-01-31 19:45,Sochaux,Valenciennes,2,0,2,2,0,2,4,0,4
21,2023-01-31 19:45,Laval,Dijon,0,0,0,1,0,1,1,0,1
21,2023-01-31 19:45,Guingamp,Nîmes,1,0,1,0,2,2,1,2,3
21,2023-01-31 19:45,Grenoble,Quevilly-Rouen,0,0,0,1,0,1,1,0,1
21,2023-01-31 19:45,Bordeaux,Le Havre,0,1,1,1,1,2,1,2,3
21,2023-01-31 19:45,Annecy,Caen,0,0,0,2,0,2,2,0,2
20,2023-01-28 18:00,Dijon,Bordeaux,0,1,1,0,2,2,0,3,3
20,2023-01-28 18:00,Caen,Laval,0,0,0,0,0,0,0,0,0
20,2023-01-28 18:00,Rodez,Guingamp,0,0,0,0,1,1,0,1,1
20,2023-01-28 18:00,Grenoble,Bastia,0,0,0,0,1,1,0,1,1
20,2023-01-28 18:00,Amiens,Le Havre,1,0,1,0,1,1,1,1,2
20,2023-01-28 18:00,Pau FC,Annecy,0,2,2,2,0,2,2,2,4
20,2023-01-28 18:00,Nîmes,Niort,3,1,4,0,1,1,3,2,5
20,2023-01-28 18:00,Quevilly-Rouen,Paris FC,1,0,1,2,1,3,3,1,4
20,2023-01-28 18:00,Valenciennes,Metz,0,0,0,1,1,2,1,1,2
20,2023-01-28 14:00,Saint-Étienne,Sochaux,0,1,1,2,2,4,2,3,5
19,2023-01-20 17:30,Sochaux,Caen,1,0,1,0,2,2,1,2,3
19,2023-01-16 19:45,Niort,Saint-Étienne,0,0,0,0,1,1,0,1,1
19,2023-01-13 19:45,Bastia,Pau FC,0,0,0,1,0,1,1,0,1
19,2023-01-13 19:45,Dijon,Valenciennes,1,0,1,1,1,2,2,1,3
19,2023-01-13 19:45,Annecy,Paris FC,1,0,1,1,0,1,2,0,2
19,2023-01-13 19:45,Bordeaux,Amiens,1,0,1,0,1,1,1,1,2
19,2023-01-13 19:45,Laval,Rodez,1,0,1,2,1,3,3,1,4
19,2023-01-13 19:45,Guingamp,Grenoble,1,1,2,1,3,4,2,4,6
19,2023-01-13 19:45,Le Havre,Nîmes,0,0,0,3,1,4,3,1,4
19,2023-01-13 19:45,Metz,Quevilly-Rouen,0,0,0,2,0,2,2,0,2
18,2023-01-10 19:45,Quevilly-Rouen,Bastia,1,0,1,0,1,1,1,1,2
18,2023-01-10 19:45,Valenciennes,Annecy,1,1,2,1,1,2,2,2,4
18,2023-01-10 19:45,Saint-Étienne,Laval,0,0,0,1,0,1,1,0,1
18,2023-01-10 19:45,Pau FC,Grenoble,0,0,0,0,0,0,0,0,0
18,2023-01-10 19:45,Paris FC,Dijon,1,0,1,1,1,2,2,1,3
18,2023-01-10 19:45,Nîmes,Metz,0,0,0,1,4,5,1,4,5
