mp,date_time,home_team,away_team,1st_score,1st_concede,1st_global,2nd_score,2nd_concede,2nd_global,total_score,total_concede,global
15,2023-01-07 19:00,Sittard,G.A. Eagles,0,2,2,0,0,0,0,2,2
15,2023-01-07 17:45,AZ Alkmaar,Vitesse,0,0,0,1,1,2,1,1,2
15,2023-01-07 15:30,Waalwijk,Heerenveen,0,0,0,0,0,0,0,0,0
15,2023-01-06 19:00,Twente,FC Emmen,1,0,1,1,0,1,2,0,2
14,2022-11-13 19:00,G.A. Eagles,Vitesse,2,0,2,0,2,2,2,2,4
14,2022-11-13 15:45,Feyenoord,Excelsior,2,1,3,3,0,3,5,1,6
14,2022-11-13 13:30,Groningen,Sittard,1,0,1,1,3,4,2,3,5
14,2022-11-13 13:30,Heerenveen,Cambuur,1,1,2,1,0,1,2,1,3
14,2022-11-13 11:15,Nijmegen,Waalwijk,1,1,2,5,0,5,6,1,7
14,2022-11-12 20:00,PSV,AZ Alkmaar,0,1,1,0,0,0,0,1,1
14,2022-11-12 17:45,FC Emmen,Ajax,1,3,4,2,0,2,3,3,6
14,2022-11-12 15:30,FC Volendam,Utrecht,0,1,1,0,3,3,0,4,4
14,2022-11-11 19:00,Sparta Rotterdam,Twente,0,0,0,1,1,2,1,1,2
13,2022-11-10 19:00,Feyenoord,Cambuur,1,0,1,0,0,0,1,0,1
13,2022-11-09 19:00,Ajax,Vitesse,1,1,2,1,1,2,2,2,4
13,2022-11-06 15:45,Ajax,PSV,0,1,1,1,1,2,1,2,3
13,2022-11-06 15:45,Waalwijk,AZ Alkmaar,1,1,2,2,0,2,3,1,4
13,2022-11-06 13:30,FC Volendam,Feyenoord,0,2,2,0,0,0,0,2,2
13,2022-11-06 13:30,Twente,G.A. Eagles,1,0,1,0,1,1,1,1,2
13,2022-11-06 11:15,Utrecht,Groningen,0,1,1,2,0,2,2,1,3
13,2022-11-05 20:00,Excelsior,Heerenveen,0,0,0,0,1,1,0,1,1
13,2022-11-05 17:45,Sittard,FC Emmen,0,0,0,0,1,1,0,1,1
12,2022-11-05 15:30,Vitesse,Sparta Rotterdam,0,0,0,0,4,4,0,4,4
12,2022-11-04 19:00,Cambuur,Nijmegen,0,1,1,0,0,0,0,1,1
12,2022-10-30 15:45,AZ Alkmaar,FC Volendam,2,0,2,0,1,1,2,1,3
